City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,yellowknife,62.456,-114.3525,289.49,79,40,3.6,CA,1724868340
1,shingu,33.7333,135.9833,298.49,91,100,1.8,JP,1724868341
2,tura,25.5198,90.2201,297.77,89,26,1.39,IN,1724868342
3,avarua,-21.2078,-159.775,297.18,78,75,6.69,CK,1724868343
4,ilulissat,69.2167,-51.1,279.16,70,75,1.54,GL,1724868344
5,waitangi,-43.9535,-176.5597,284.16,96,8,1.79,NZ,1724868345
6,kodiak,57.79,-152.4072,283.88,87,100,0.0,US,1724868346
7,isafjordur,66.0755,-23.124,280.17,87,75,5.14,IS,1724868347
8,iqaluit,63.7506,-68.5145,282.0,66,75,12.35,CA,1724868396
9,iskateley,67.6803,53.1512,283.99,82,77,8.4,RU,1724868397
10,san clemente del tuyu,-36.3569,-56.7235,285.4,66,49,3.8,AR,1724868398
11,margaret river,-33.95,115.0667,289.92,93,100,12.34,AU,1724868399
12,semnan,35.5729,53.3971,301.12,36,96,4.9,IR,1724868401
13,ad dawadimi,24.5077,44.3924,308.79,15,49,3.91,SA,1724868402
14,port-aux-francais,-49.35,70.2167,277.86,95,100,8.94,TF,1724868183
15,strezhevoy,60.7333,77.5889,287.01,91,97,3.32,RU,1724868404
16,longyearbyen,78.2186,15.6401,280.06,70,20,6.17,SJ,1724868406
17,petropavlovsk-kamchatsky,53.0452,158.6483,281.48,87,0,1.0,RU,1724868407
18,salahonda,2.1019,-78.7217,299.44,85,41,5.52,CO,1724868408
19,bilibino,68.0546,166.4372,272.87,89,100,2.6,RU,1724868410
20,umea,63.8284,20.2597,288.11,94,0,2.06,SE,1724868411
21,puerto natales,-51.7236,-72.4875,276.4,93,40,7.72,CL,1724868412
22,nema,57.5067,50.5011,287.99,74,6,2.34,RU,1724868413
23,edinburgh of the seven seas,-37.0676,-12.3116,286.87,93,100,16.94,SH,1724868414
24,hawaiian paradise park,19.5933,-154.9731,298.88,94,20,2.06,US,1724868415
25,fale old settlement,-9.3852,-171.2468,301.16,73,0,7.05,TK,1724868416
26,buka,40.8108,69.1986,293.2,43,2,1.04,UZ,1724868417
27,cameron,26.117,-97.5169,304.13,70,40,5.14,US,1724868418
28,tolanaro,-25.0319,46.9987,294.58,76,0,7.72,MG,1724868420
29,beni mellal,32.3373,-6.3498,304.77,25,26,5.06,MA,1724868421
30,bredasdorp,-34.5322,20.0403,278.76,66,76,3.83,ZA,1724868422
31,lorengau,-2.0226,147.2712,300.99,76,44,5.15,PG,1724868423
32,albany,42.6001,-73.9662,302.38,68,88,1.34,US,1724868424
33,roma,43.2128,-75.4557,298.36,78,83,0.89,US,1724868364
34,nemuro,43.3236,145.575,290.3,100,100,0.63,JP,1724868426
35,udachny,66.4167,112.4,280.23,71,97,1.21,RU,1724868356
36,invercargill,-46.4,168.35,282.6,96,55,0.89,NZ,1724868429
37,adamstown,-25.066,-130.1015,291.58,66,100,1.54,PN,1724868430
38,pangai,-19.8,-174.35,295.75,75,52,5.65,TO,1724868431
39,pirdop,42.7,24.1833,291.05,82,96,2.1,BG,1724868432
40,la gi,10.6667,107.7833,299.18,88,100,2.29,VN,1724868433
41,puerto ayora,-0.7393,-90.3518,293.46,94,79,1.34,EC,1724868434
42,tatarsk,55.219,75.9828,286.63,89,35,2.27,RU,1724868435
43,taltal,-25.4,-70.4833,288.18,70,10,2.53,CL,1724868436
44,olonkinbyen,70.9221,-8.7187,278.42,88,76,4.92,SJ,1724868437
45,thompson,55.7435,-97.8558,294.25,40,83,5.11,CA,1724868439
46,mount gambier,-37.8333,140.7667,283.81,71,97,4.38,AU,1724868440
47,eydhafushi,5.1033,73.0708,301.71,75,91,2.74,MV,1724868441
48,papatowai,-46.5619,169.4708,282.86,75,41,6.51,NZ,1724868442
49,aasiaat,68.7098,-52.8699,276.97,81,100,2.11,GL,1724868443
50,traralgon,-38.1833,146.5333,282.54,62,70,5.06,AU,1724868444
51,enewetak,11.3474,162.3373,301.81,75,99,4.73,MH,1724868445
52,georgetown,5.4112,100.3354,300.11,74,20,0.51,MY,1724868446
53,antofagasta,-23.65,-70.4,288.75,77,20,2.76,CL,1724868332
54,kerikeri,-35.2268,173.9474,285.88,94,100,2.73,NZ,1724868449
55,utrik,11.2278,169.8474,301.4,74,62,3.71,MH,1724868450
56,carbonear,47.7332,-53.2148,296.61,71,52,8.17,CA,1724868451
57,es castell,39.8795,4.2854,299.53,69,40,3.09,ES,1724868452
58,margherita,27.2833,95.6833,298.24,98,3,1.38,IN,1724868453
59,grand-bassam,5.2118,-3.7388,298.13,89,82,3.92,CI,1724868454
60,susuman,62.7833,148.1667,274.26,80,98,1.64,RU,1724868455
61,boa vista,2.8197,-60.6733,303.14,58,40,2.57,BR,1724868457
62,mazagao,-0.115,-51.2894,308.34,38,49,1.98,BR,1724868433
63,wailua homesteads,22.0669,-159.378,299.59,86,0,4.63,US,1724868460
64,alto araguaia,-17.3147,-53.2153,307.89,13,0,3.39,BR,1724868461
65,hovd,48.0056,91.6419,290.69,32,12,0.82,MN,1724868462
66,grytviken,-54.2811,-36.5092,277.05,87,100,1.39,GS,1724868463
67,talnakh,69.4865,88.3972,284.03,91,65,2.31,RU,1724868464
68,newman,37.3138,-121.0208,306.95,14,0,1.46,US,1724868465
